trial_number,source,mean_auc,mean_delta,positive_folds,mean_best_iteration,mean_elapsed_seconds,depth,learning_rate,l2_leaf_reg,random_strength,subsample,fold1_auc,fold1_delta,fold2_auc,fold2_delta
14,optuna,0.964415,0.000122,2,9229.500000,626.750000,5,0.069203,11.349111,2.655660,0.739053,0.964119,0.000100,0.964711,0.000144
13,optuna,0.964402,0.000108,2,9372.500000,616.400000,5,0.069183,10.296349,2.175034,0.634014,0.964121,0.000103,0.964682,0.000114
15,optuna,0.964376,0.000083,2,8701.000000,620.050000,5,0.067620,3.208899,2.748027,0.782617,0.964042,0.000024,0.964710,0.000142
0,optuna,0.964375,0.000082,2,8426.000000,544.700000,5,0.077313,12.057126,1.040166,0.662407,0.964085,0.000067,0.964665,0.000097
19,optuna,0.964369,0.000075,2,7019.500000,543.400000,6,0.070244,7.579037,2.808814,0.653310,0.964075,0.000056,0.964663,0.000095
12,optuna,0.964355,0.000061,2,7493.500000,570.800000,6,0.066805,10.081854,1.847101,0.606583,0.964096,0.000077,0.964613,0.000045
16,optuna,0.964338,0.000045,2,8783.000000,707.150000,6,0.059627,14.650754,4.918515,0.875292,0.964099,0.000081,0.964577,0.000009
18,optuna,0.964329,0.000035,1,9988.500000,697.100000,5,0.057802,3.856498,1.482023,0.842122,0.964091,0.000072,0.964566,-0.000002
17,optuna,0.964300,0.000007,2,9613.000000,627.750000,5,0.073192,26.663748,2.521110,0.742863,0.964032,0.000013,0.964568,0.000000
11,optuna,0.964294,0.000001,1,6844.000000,524.050000,6,0.063776,8.386994,1.968195,0.601658,0.964023,0.000004,0.964566,-0.000002
-1,reference,0.964293,0.000000,0,8124.500000,716.100000,6,0.050000,3.000000,1.000000,0.800000,0.964019,0.000000,0.964568,0.000000
5,optuna,0.964200,-0.000093,0,7279.000000,631.750000,7,0.045938,5.748925,1.015067,0.618580,0.963921,-0.000098,0.964480,-0.000088
4,optuna,0.964129,-0.000164,0,6283.000000,582.150000,7,0.044061,2.701053,0.419216,0.782428,0.963880,-0.000139,0.964379,-0.000189
8,optuna,0.964124,-0.000170,0,9990.000000,581.400000,4,0.056380,1.124077,3.506776,0.703512,0.963813,-0.000206,0.964434,-0.000134
9,optuna,0.964111,-0.000182,0,5924.000000,530.300000,7,0.049647,5.864129,0.848876,0.673942,0.963810,-0.000209,0.964412,-0.000156
6,optuna,0.964087,-0.000207,0,5964.500000,597.700000,7,0.045019,1.247639,4.093814,0.986253,0.963831,-0.000188,0.964343,-0.000225
10,optuna,0.964044,-0.000249,0,9954.000000,655.050000,5,0.074780,27.047297,0.107279,0.984731,0.963845,-0.000174,0.964244,-0.000324
2,optuna,0.964029,-0.000264,0,9262.500000,512.900000,4,0.078349,16.967534,0.229487,0.672730,0.963688,-0.000331,0.964371,-0.000197
7,optuna,0.963868,-0.000425,0,4308.000000,454.700000,8,0.049404,1.394035,1.453756,0.776061,0.963683,-0.000336,0.964054,-0.000514
3,optuna,0.963820,-0.000473,0,9990.000000,569.550000,4,0.049391,5.958389,0.541828,0.716492,0.963605,-0.000413,0.964034,-0.000534
1,optuna,0.963081,-0.001212,0,10000.000000,582.050000,4,0.041643,19.030368,1.050211,0.883229,0.962869,-0.001149,0.963293,-0.001275
